kernel_version,iteration,tile,panel,variant_label,slide_crop,slide_stride,prob_thd,conf_thd,prompt_set,status,notes
v5,1,dop20_32_468_5543_1_he,baseline,multi-synonym,1024,768,0.1,0.1,multi,complete,"long synonym strings per class; runway/tarmac wording includes faded markings + patched asphalt detail"
v5,1,dop20_32_468_5543_1_he,PartB(old grid),prob_thd=0.05,1024,768,0.05,0.1,multi,complete,"grid-comparison format (superseded in v6) -- runway clean"
v5,1,dop20_32_468_5543_1_he,PartB(old grid),prob_thd=0.1,1024,768,0.1,0.1,multi,complete,"grid-comparison format (superseded in v6) -- runway clean"
v5,1,dop20_32_468_5543_1_he,PartB(old grid),prob_thd=0.3,1024,768,0.3,0.1,multi,complete,"grid-comparison format (superseded in v6) -- runway clean"
v5,1,dop20_32_468_5543_1_he,PartB(old grid),conf_thd=0.05,1024,768,0.1,0.05,multi,complete,"grid-comparison format (superseded in v6) -- little visible change"
v5,1,dop20_32_468_5543_1_he,PartB(old grid),conf_thd=0.1,1024,768,0.1,0.1,multi,complete,"grid-comparison format (superseded in v6) -- baseline repeat"
v5,1,dop20_32_468_5543_1_he,PartB(old grid),conf_thd=0.3,1024,768,0.1,0.3,multi,complete,"grid-comparison format (superseded in v6) -- little visible change"
v5,1,dop20_32_468_5543_1_he,PartB(old grid),stride=384,1024,384,0.1,0.1,multi,complete,"grid-comparison format (superseded in v6) -- little visible change"
v5,1,dop20_32_468_5543_1_he,PartB(old grid),stride=768,1024,768,0.1,0.1,multi,complete,"grid-comparison format (superseded in v6) -- baseline repeat"
v5,1,dop20_32_468_5543_1_he,PartB(old grid),stride=1024,1024,1024,0.1,0.1,multi,complete,"grid-comparison format (superseded in v6) -- little visible change"
v5,1,dop20_32_468_5543_1_he,PartC(old grid),single-word,1024,768,0.1,0.1,single,complete,"runway class FAILED -- large white/undetected dropout on tarmac"
v5,1,dop20_32_468_5543_1_he,PartC(old grid),multi-synonym,1024,768,0.1,0.1,multi,complete,"cleanest of the three -- runway/planes/buildings all correct"
v5,1,dop20_32_468_5543_1_he,PartC(old grid),ambiguous,1024,768,0.1,0.1,ambiguous,complete,"runway partly background; tree class over-triggered"
v6,2,dop20_32_468_5543_1_he,baseline,multi-synonym,1024,768,0.1,0.1,multi,pending,"format overhaul: full-tile RGB|overlay per config (matches teammate style), replaces v5 subplot grids"
v6,2,dop20_32_468_5543_1_he,A-window,crop768_stride576,768,576,0.1,0.1,multi,pending,"new: window-size ablation, values sourced from teammate's windowsize_exp folder"
v6,2,dop20_32_468_5543_1_he,A-window,crop1024_stride768,1024,768,0.1,0.1,multi,pending,"= baseline, reused not rerun"
v6,2,dop20_32_468_5543_1_he,A-window,crop1500_stride1200,1500,1200,0.1,0.1,multi,pending,"largest crop tested -- watch for black dropout holes as seen in reference set"
v6,2,dop20_32_468_5543_1_he,B-threshold,probthd0.05,1024,768,0.05,0.1,multi,pending,"free sweep, reuses baseline logits"
v6,2,dop20_32_468_5543_1_he,B-threshold,probthd0.1,1024,768,0.1,0.1,multi,pending,"= baseline, reused not rerun"
v6,2,dop20_32_468_5543_1_he,B-threshold,probthd0.3,1024,768,0.3,0.1,multi,pending,"free sweep, reuses baseline logits"
v6,2,dop20_32_468_5543_1_he,B-threshold,confthd0.05,1024,768,0.1,0.05,multi,pending,"real rerun"
v6,2,dop20_32_468_5543_1_he,B-threshold,confthd0.1,1024,768,0.1,0.1,multi,pending,"= baseline, reused not rerun"
v6,2,dop20_32_468_5543_1_he,B-threshold,confthd0.3,1024,768,0.1,0.3,multi,pending,"real rerun"
v6,2,dop20_32_468_5543_1_he,C-prompt,multi-synonym,1024,768,0.1,0.1,multi,pending,"= baseline, reused not rerun"
v6,2,dop20_32_468_5543_1_he,C-prompt,single-word,1024,768,0.1,0.1,single,pending,"real rerun -- expect same runway dropout failure as v5"
v6,2,dop20_32_468_5543_1_he,C-prompt,ambiguous,1024,768,0.1,0.1,ambiguous,pending,"real rerun"
